"DATASET";"DOELGROEP";"SUBDOELGROEP";"CODE_EMISSIEOORZAAK";"EMISSIEOORZAAK";"COMPARTIMENT";"STOFCODE";"STOF";"EENHEID";1990;1995;2000;2005;2010;2013;2014;2015
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280029";"Varend NL, Bulkcarrier";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;0.279619;0.273303;0.28897;0.28897
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280030";"Varend NL, Containerschepen";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;2.56347;2.52421;2.65846;2.65846
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280031";"Varend NL, Conventioneel stukgoed";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;0.556937;0.508536;0.555841;0.555841
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280032";"Varend NL, Roro lading/autoschepen";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;0.885619;0.755013;0.754063;0.754063
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280033";"Varend NL, Koelschepen";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;0.109409;0.109043;0.105743;0.105743
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280034";"Varend NL, Passagierschepen";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;0.168147;0.162692;0.163954;0.163954
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280035";"Varend NL, Overige schepen";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;0.432346;0.407833;0.302994;0.302994
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0102001";"Uitlaatgassen brommobielen, bebouwde kom";"Lucht";"103";"Arseenverb. (als As)";"kg";;8.91236E-06;9.90684E-05;0.000168289;0.000222014;0.000221964;0.000218097;0.000228386
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0102003";"Uitlaatgassen brommobielen, buitenweg";"Lucht";"103";"Arseenverb. (als As)";"kg";;6.85441E-06;7.61926E-05;0.00012943;0.000170787;0.000170916;0.000167965;0.000175983
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100423";"Uitlaatgassen autobussen ov diesel, bebouwde kom";"Lucht";"103";"Arseenverb. (als As)";"kg";0.00911176;0.00945482;0.00823704;0.00766673;0.00811254;0.00748634;0.0071598;0.00743529
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100424";"Uitlaatgassen autobussen ov diesel, autosnelweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.000203412;0.000211071;0.000183885;0.000171153;0.000181106;0.000167126;0.000159836;0.000165986
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100425";"Uitlaatgassen autobussen ov diesel, buitenweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.00265529;0.00275526;0.00240038;0.00223418;0.0023641;0.00218162;0.00208646;0.00216674
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100426";"Uitlaatgassen autobussen touringcars diesel, bebouwde kom";"Lucht";"103";"Arseenverb. (als As)";"kg";0.000643302;0.000651785;0.000787531;0.000674955;0.000586989;0.000519067;0.000497177;0.000468109
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100427";"Uitlaatgassen autobussen touringcars diesel, autosnelweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.00110007;0.00111457;0.0013467;0.00115419;0.00100377;0.00088762;0.000850187;0.00080048
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100428";"Uitlaatgassen autobussen touringcars diesel, buitenweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.00114308;0.00115815;0.00139936;0.00119933;0.00104302;0.000922328;0.000883431;0.000831781
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100438";"Uitlaatgassen autobussen touringcars overig, bebouwde kom";"Lucht";"103";"Arseenverb. (als As)";"kg";3.65763E-06;1.42317E-06;1.38292E-06;2.49405E-06;3.12142E-06;2.45265E-06;2.35627E-06;2.11584E-06
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100439";"Uitlaatgassen autobussen touringcars overig, autosnelweg";"Lucht";"103";"Arseenverb. (als As)";"kg";6.25466E-06;2.43367E-06;2.36483E-06;4.2649E-06;5.33772E-06;4.1941E-06;4.02929E-06;3.61814E-06
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100440";"Uitlaatgassen autobussen touringcars overig, buitenweg";"Lucht";"103";"Arseenverb. (als As)";"kg";6.49923E-06;2.52883E-06;2.4573E-06;4.43167E-06;5.54643E-06;4.35809E-06;4.18685E-06;3.75962E-06
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120104";"Bandenslijtage personenauto's, bebouwde kom";"Lucht";"103";"Arseenverb. (als As)";"kg";0.153349;0.139864;0.123389;0.131792;0.137333;0.13864;0.13827;0.140124
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120105";"Bandenslijtage personenauto's, autosnelweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.146144;0.169058;0.217406;0.232063;0.234722;0.236425;0.235709;0.238947
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120106";"Bandenslijtage personenauto's, buitenweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.129511;0.129131;0.138579;0.147963;0.154129;0.155732;0.155162;0.157101
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120111";"Bandenslijtage lichte bedrijfsvoertuigen, bebouwde kom";"Lucht";"103";"Arseenverb. (als As)";"kg";0.0318417;0.0276388;0.019689;0.0229923;0.0222512;0.020999;0.0211383;0.0212567
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120112";"Bandenslijtage lichte bedrijfsvoertuigen, autosnelweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.0105089;0.0241069;0.0502304;0.0586513;0.0566648;0.0534195;0.0537651;0.0539675
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120113";"Bandenslijtage lichte bedrijfsvoertuigen, buitenweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.0126511;0.0168955;0.0252994;0.0295446;0.0285673;0.0269455;0.0271217;0.0272112
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120211";"Bandenslijtage zware bedrijfsvoertuigen, excl. autobussen, bebouwde kom";"Lucht";"103";"Arseenverb. (als As)";"kg";0.0449039;0.0429204;0.0351156;0.0314007;0.0304088;0.0271595;0.0264138;0.0263805
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120212";"Bandenslijtage zware bedrijfsvoertuigen, excl. autobussen, autosnelweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.0870463;0.115213;0.13892;0.139767;0.148134;0.136531;0.134143;0.135147
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120213";"Bandenslijtage zware bedrijfsvoertuigen, excl. autobussen, buitenweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.0431036;0.0413375;0.0356055;0.0345593;0.036116;0.0329708;0.0322969;0.0325341
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120214";"Bandenslijtage autobussen ov, bebouwde kom";"Lucht";"103";"Arseenverb. (als As)";"kg";0.00662098;0.00691618;0.00622009;0.0060362;0.0071903;0.0070919;0.00686518;0.00713086
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120215";"Bandenslijtage autobussen ov, autosnelweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.000203741;0.000212825;0.000191405;0.000185746;0.000221261;0.000218233;0.000211256;0.000219431
